n_notes,n_chord_groups,sigma_ms,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,asynchrony_sigma_ms,keep_rate,wrap_rate,collision_rate,onset_max_err_ms,path
754,424,48.60971778329323,0.1894957286958519,0.09001931285738315,-0.02973901971986211,0.026679298788348182,-0.056492373139673736,0.02119362610344248,-0.05869125427008857,0.1262618441316563,7.173741087088851,0.9880636604774535,0.005305039787798408,0.011936339522546418,7.594593398607685e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_846/Shi05M.mid
1435,859,13.803848445488898,-0.13422165709411074,0.23962449681034892,-0.1686896753707707,0.20638346151379133,-0.129673792086206,0.06396956527922068,-0.035500577498673386,0.1351821882373969,6.765545920387486,0.9993031358885017,0.0006968641114982578,0.0006968641114982578,2.789704467431875e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Denisova06M.mid
1438,904,15.494025542276804,-0.12497189760916876,0.13908940682143578,-0.023245033386310468,0.0041631308009744865,-0.03839750889359083,0.03444189605547145,0.01877402544044182,0.059445546761350276,7.728892231114009,0.9993045897079277,0.0006954102920723226,0.0006954102920723226,2.7875444175151642e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lee01M.mid
1429,874,19.323449651314984,0.12330402409612412,0.01012297532891508,-0.2971190172988669,-0.006780264726754291,0.12933101009038772,0.1256638936074368,-0.0151932473806606,-0.03657818039332555,6.572026893493228,0.9986004198740378,0.0006997900629811056,0.0013995801259622112,5.956025006526033e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/LeeSH01M.mid
1431,872,14.487819555423952,-0.00034300021856551144,0.1549685669331025,-0.021405008020911734,0.12870148605244755,0.021128112958803822,0.008935622327496983,0.007896658112023367,0.0016835549960499787,6.742450639820624,1.0,0.0020964360587002098,0.0,3.285592242718849e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lin04M.mid
1433,863,17.379829268612937,0.1734061152235052,0.1702577536980283,-0.16479981008710112,0.014256100669483398,-0.1581417237888406,-0.031185782494511018,-0.12474659202450422,0.0585673752970769,6.4411118518382695,0.9986043265875785,0.0013956734124214933,0.0013956734124214933,3.3217446571143228e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lou01M.mid
1438,865,20.192658470447316,0.23002494943765442,-0.10318762203169961,-0.2095952376215593,-0.1656282083445083,-0.1415757543007724,0.08126474002285845,0.19917675494336445,0.15063864075452896,5.703300226402617,0.9993045897079277,0.0006954102920723226,0.0006954102920723226,7.245148481160868e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/MiyashitaM01M.mid
1440,899,17.89415910002384,-0.17923955571728042,0.1942891847349375,0.03413360907181714,0.006770652904410982,0.0062786910251998165,0.022008144101282618,-0.0014982832932237335,0.018001409865602284,6.155203200896961,1.0,0.0006944444444444445,0.0,4.316149215810583e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Mizumoto03M.mid
1431,864,13.101609268434986,-0.02507038116067068,0.059414973143469996,0.01230139879510442,-0.014770443596622026,-0.11184506997051209,-0.025267399259348126,-0.007724598467340354,-0.005989680542135154,6.080767831149932,0.9986023759608665,0.0006988120195667365,0.001397624039133473,3.85198006824794e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/SunY01M.mid
1430,862,16.04858662481508,0.013577499798450665,0.12082821527847282,-0.05623961367132225,0.11925143736242029,-0.00916259684745984,0.020752539808745953,0.04851682760689537,-0.015429408942583591,6.919285388335349,0.9993006993006993,0.0006993006993006993,0.0006993006993006993,3.7044856071588583e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Zhou01M.mid
