n_beats,bpm_median,period_cv,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,drho_1,drho_2,drho_3,drho_4,path,composer
105,47.677168357617305,0.16683875941973478,0.6250001690441677,0.38480319671235585,0.2938398117019714,0.20425756820927823,0.14203277230361105,0.10622721567689337,0.10091900799394593,0.09987646448977323,0.03738497121026028,-0.24428017174325356,-0.03394501621424135,-0.04617884537157911,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_846/Shi05M_annotations.txt,Bach
216,120.70734504194562,0.07879875995936714,0.3684075616448227,0.19587282627651456,0.02153080235081364,0.13610822263257719,-0.02004660625624527,0.04214387741689194,0.04076083195293685,0.1518420497017559,-0.30433213150024435,0.1685392872006306,-0.2070481215477903,0.3058198795473294,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Denisova06M_annotations.txt,Bach
216,106.21583943705718,0.07867433019138466,0.3257186574274735,0.19141378955299132,0.06518705560870458,0.059630474816073996,0.029092971595735373,0.017878093813155162,0.03884010553951687,0.07136996037693566,-0.21761060504526597,0.14440831872110665,-0.08438173270451114,0.08849545792166577,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lee01M_annotations.txt,Bach
216,91.64684803578153,0.11746515569828761,0.3753371120612726,0.1447184523387919,0.022169260165467827,0.012357582076355176,-0.009366462315146056,0.04973660860384931,0.12319957254702663,0.12434543333217889,-0.07348458972134587,0.06561804211654941,0.01113383938738392,0.010758413410823163,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/LeeSH01M_annotations.txt,Bach
216,109.60565711331807,0.06501138096328661,0.1724562973915298,0.08860272545953185,-0.05958150781824074,-0.014341620584254462,-0.031032184332806544,-0.02449154664930309,0.008403190756977482,-0.0012726241528671566,-0.3369277202255007,0.18088104365969115,-0.1393567232455816,0.09344942509434204,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lin04M_annotations.txt,Bach
216,105.20557168707649,0.09012124141453538,0.22217187258849228,-0.03525865479782242,4.218591139633708e-06,0.22409192961480867,0.021714776498953654,-0.05850334982448431,0.1166837070101437,0.22784216067450166,-0.2452737172735287,-0.17097021384421732,-0.11812160032561875,0.3406552399828556,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lou01M_annotations.txt,Bach
216,97.54448028300868,0.15496422199022503,0.34240043100480044,0.073595803302657,0.02451020809770367,0.06840887142373564,0.01791208905358799,0.0067309309544198795,0.03530104585322707,0.07570997762314637,0.08076580905297336,0.035215190340073976,-0.04286333084656419,0.10940102558677868,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/MiyashitaM01M_annotations.txt,Bach
216,102.24844326744952,0.10013868334383146,0.3282945527144914,0.10935105253260899,0.01412591756686429,0.013607703754937642,-0.05664983359271261,-0.034461506209909454,0.08839783060690888,0.14350415635449645,-0.18784388274470298,0.028935570464538967,-0.008398797445583818,0.10265585244137118,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Mizumoto03M_annotations.txt,Bach
216,108.67931090071818,0.08124175635413466,0.25314953075678365,0.05430223413988123,0.027545538617198308,0.05307952472370297,0.026742756930832827,-0.04496139494271512,0.0017221192711483276,0.09325297910174428,-0.07642915765729867,-0.01673200014227647,-0.006847472821779283,0.0468897046479966,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/SunY01M_annotations.txt,Bach
216,94.81488973028529,0.07305872953103715,0.34443187713742685,0.09765809771287937,0.08801579805890479,0.10471451502006204,0.07765651572564235,0.05610630835059424,0.08636445390216259,0.21356409098913423,-0.12214466429859734,-0.09321852347147254,0.011389135118225266,0.10170212230640407,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Zhou01M_annotations.txt,Bach
