n_notes,n_chord_groups,sigma_ms,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,asynchrony_sigma_ms,keep_rate,wrap_rate,collision_rate,onset_max_err_ms,path
7894,5055,43.666233917991214,0.14987792877018194,0.027833388338021608,0.023422431002089256,0.038375855931686895,-0.048583073369964175,-0.13168778371181936,-0.06565257348365881,0.02142306322418731,17.99196249268785,0.9946795034203192,0.0,0.0053204965796807705,2.2803305910201743e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi
1181,672,95.45262527990023,0.1270995954148101,0.07533453186683246,0.08813684994963553,0.04100147970297913,-0.020374579591928985,-0.019581355932145914,-0.07101223566092528,0.033129084656467356,30.765595623302364,0.9974597798475868,0.0,0.002540220152413209,4.891742122481446e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi
2850,1213,51.57348033369525,0.24026302018106407,0.13394905352651687,0.018673480421882892,0.03378982378740568,0.018860817390686974,0.03410018036761333,0.006472591474885029,-0.02697630442532863,21.67299714747308,0.9852631578947368,0.0,0.014736842105263158,2.731951553869294e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi
6369,2661,39.87271761457256,0.27927705194619656,0.3084681370905258,0.16001854474006288,0.1620766396025674,0.0808936009288312,0.09321459094694524,0.008423947556598591,0.018849721869882045,20.54304586507046,0.9934055581723975,0.0,0.00659444182760245,2.0348807083792053e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi
18947,9934,28.644359089546597,-0.08935818027687273,0.007406528248342432,0.02011860392574764,0.021600177029955172,0.01916017438046306,0.016795723524755408,0.0014125403870535944,0.010929491709416584,17.37681212100784,0.9996833271758062,0.0,0.00031667282419380375,1.4784404811507557e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi
5938,3821,20.08717628895125,0.018445273733317776,-0.008345747579642534,0.002065235173181401,-0.015858469763777704,0.0006233169858208363,0.00770772803028242,-0.016577921029295874,-0.007106739897376703,13.367376996271823,1.0,0.0,0.0,1.0429630492581055e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi
10034,5005,27.340255269738332,-0.11293593154626952,-0.0393730229735332,0.018872353725649906,0.02420138437655199,-0.008771934088270608,0.014541558720379665,-0.0348593657390585,0.0039044594449277477,16.361222512886634,0.9972094877416783,0.0,0.0027905122583217062,1.4181296137394384e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi
3547,1668,114.27041108521094,0.03996928798392655,0.04016424066685364,0.023435314450625768,-0.031651488956022086,0.00825292914897238,0.015628429129818076,-0.006864064592917569,-0.009264519576208342,38.942366916926034,0.9701155906399774,0.0,0.029884409360022554,5.889546628168318e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi
6106,3506,59.08456673095951,-0.10154946775977317,0.04950197880070668,-0.021633231869224355,0.00028085822382591596,-0.04728144559115128,0.014398651531523924,-0.016456053258076656,0.024709712356209758,22.134752164950168,0.9975433999344907,0.0,0.002456600065509335,3.0785258786636405e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi
5271,2830,34.2105459195929,0.06629456261453034,0.0014105840365260143,0.01864637387659913,-0.007376349846927849,0.01520532874450975,0.01632322192457826,0.02398211456541696,0.014092550756369723,19.330095899131038,0.9977233921457029,0.0,0.0022766078542970974,1.7750494407664519e-06,/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Drafts/maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi
